#NAME=latitude,longitude,absolute-altitude,heading
OSRF0=37.4003371,-122.0800351,0,353
OSRF0_PILOTSBOX=37.4003371,-122.0800351,2,270
CMAC=-35.363261,149.165230,584,353
CMAC2=-35.362889,149.165221,584,270
CMAC_South=-35.363261,149.165230,584,173
CMAC_PILOTSBOX=-35.362734,149.165300,586,270
CMAC_PILOTSBOX2=-35.362749,149.165359,584,270
Kingaroy=-26.583528,151.840440,444,169
AVC=40.0713749,-105.2297889,1583.702759,246
AVC_copter=40.072842,-105.230575,1586,0
AVC_plane=40.072842,-105.230575,1586,80
McMillan=35.718719,-120.769818,275,295
McMillan_East=35.7168007,-120.7644466,275,295
TomCarpark=26.048950,-80.254219,6,270
Ballarat=-37.598705,143.881744,485,165
CRAMS=-27.675284,152.519307,58,285 # Calvert Radio Aero Modeller's Society
3DRBerkeley=37.872991,-122.302348,20,260
BMAC=-35.226343,149.132122,588,301
LGAT=37.889063,23.731863,21,330
BHV=53.547767,8.626440,0,324
QMAC=-35.363724,149.430011,740,312
Karuizawa=36.324306,138.639282,938,0
Dalby=-27.274439,151.290064,343,8.7
RFRanch=37.118079,-2.773690,1297.88,180
KSFO=37.619373,-122.376637,5.3,118
NFSC=53.637561,9.929800,13,345
Rotherham=53.275131,-1.19404,21,360
LeeField=32.42553,-84.79109,75,260
Sterling=38.982480,-77.439567,88,90
EPIgijon=43.521902,-5.624310,22,0
PerkinsField=36.163609,-78.806864,137,20
KNUI=38.145322,-76.426652,7,70
Range11=41.360461,-74.032838,220,180
Flicker=39.018801,-104.893081,2158,180
ElliottField=34.458281,-84.180209,450,130
CobbCountyRC=34.013819,-84.724446,280,105
GrupoSicoss=19.316518,-99.220255,0,0
Garrawarra=-34.159752,150.967395,293,165
Snarbyeidet=69.775839,19.548929,87,170
Breivikeidet=69.624025,19.414047,55,235
Hata=35.671497,140.083934,6,165
TagusPark=38.740195,-9.301843,151,0
Marcopter=44.806968,11.610389,0,90
HMAS=-33.661500,150.841431,18,0
RATBeach=33.810313,-118.393867,0,270
Carstensz=-35.331302,149.132103,606,60
Skyrocket=33.982069,-118.426372,11,134
SkyViperFactory=23.021754,114.073139,13,0
KazakoshiPark=36.321909,138.596021,932,0
SKT=44.850687,-0.684029,45,0
UChicago=41.7886079,-87.59871329999999,191,0
Yachiyo=35.770481,140.107929,36,90
Tyndall=30.0142232,-85.4984701,7,0
Elvenes=68.871422,17.986690,17,256
Kawachi=35.879129,140.339683,7,0
SpringValley= -35.280252,149.005821,597.3,5
Pyramid=29.9764,31.1339,0,0
AAMEastField=39.842288,-105.212928,1809,106
HachinoheMine=40.4539496,141.5419051,56,270
HighwayField=-33.950458,22.977709,240,300
AAMWestField=39.842218,-105.219375,1814,90.5
EliField=40.059488,-88.551314,206,37
Goretovka=55.9689,37.1101,200,290
