TasksV2 CORE=0
AP_InertialSensor::update*       MIN=  34 MAX=1098 AVG= 255 OVR=  0 SLP=  0, TOT= 7.3%
Copter::run_rate_controller_main MIN=   5 MAX= 202 AVG=  18 OVR=  0 SLP=  0, TOT= 0.5%
Copter::motors_output_main*      MIN=   1 MAX= 131 AVG=   6 OVR=  0 SLP=  0, TOT= 0.1%
Copter::read_AHRS*               MIN= 431 MAX=2911 AVG=1337 OVR=  0 SLP=  0, TOT=38.5%
Copter::read_inertia*            MIN=  43 MAX= 374 AVG= 125 OVR=  0 SLP=  0, TOT= 3.6%
Copter::check_ekf_reset*         MIN=   4 MAX= 290 AVG=   9 OVR=  0 SLP=  0, TOT= 0.2%
Copter::update_flight_mode*      MIN= 325 MAX=1022 AVG= 772 OVR=  0 SLP=  0, TOT=22.2%
Copter::update_home_from_EKF*    MIN=  12 MAX= 199 AVG=  27 OVR=  0 SLP=  0, TOT= 0.7%
Copter::update_land_and_crash_de MIN=  29 MAX= 261 AVG=  57 OVR=  0 SLP=  0, TOT= 1.7%
Copter::update_rangefinder_terra MIN=  18 MAX= 273 AVG=  47 OVR=  0 SLP=  0, TOT= 1.4%
AP_Mount::update_fast*           MIN=   2 MAX= 176 AVG=   7 OVR=  0 SLP=  0, TOT= 0.2%
Copter::Log_Video_Stabilisation* MIN=   2 MAX= 140 AVG=   7 OVR=  0 SLP=  0, TOT= 0.2%
Copter::rc_loop                  MIN=  19 MAX= 276 AVG=  44 OVR=  0 SLP=  0, TOT= 1.3%
Copter::throttle_loop            MIN=  26 MAX= 187 AVG=  55 OVR= 35 SLP=  0, TOT= 0.4%
Copter::fence_check              MIN=   3 MAX= 101 AVG=   7 OVR=  1 SLP=  0, TOT= 0.0%
AP_GPS::update                   MIN=  57 MAX= 720 AVG= 110 OVR= 15 SLP=  0, TOT= 0.8%
AP_OpticalFlow::update           MIN=   2 MAX= 201 AVG=  15 OVR=  2 SLP=  0, TOT= 0.4%
Copter::update_batt_compass      MIN=  79 MAX= 417 AVG= 154 OVR= 63 SLP=  0, TOT= 0.2%
RC_Channels::read_aux_all        MIN=   4 MAX= 120 AVG=  11 OVR=  1 SLP=  0, TOT= 0.0%
Copter::auto_disarm_check        MIN=   4 MAX=  20 AVG=  10 OVR=  0 SLP=  0, TOT= 0.0%
RC_Channels_Copter::auto_trim_ru MIN=   3 MAX=  31 AVG=   6 OVR=  0 SLP=  0, TOT= 0.0%
Copter::read_rangefinder         MIN= 117 MAX= 500 AVG= 320 OVR=166 SLP=  0, TOT= 0.9%
AP_Proximity::update             MIN=   5 MAX= 171 AVG=  18 OVR= 34 SLP=  0, TOT= 0.5%
AP_Beacon::update                MIN=   1 MAX= 186 AVG=  11 OVR=965 SLP=  0, TOT= 0.4%
AP_Airspeed::update              MIN=   2 MAX=  19 AVG=   5 OVR=  0 SLP=  0, TOT= 0.0%
Copter::update_altitude          MIN= 124 MAX= 388 AVG= 206 OVR= 83 SLP=  0, TOT= 0.3%
Copter::run_nav_updates          MIN=   4 MAX= 137 AVG=   9 OVR=  1 SLP=  0, TOT= 0.1%
Copter::update_throttle_hover    MIN=   3 MAX= 179 AVG=   8 OVR=  5 SLP=  0, TOT= 0.1%
